ID: 0000; Operation: None; Time: YYYY-MM-DD HH:MM:SS; Stock Name: XXX; Strike: 00.00; Expiration Date: YYYY-MM-DD; Type: None; Shares: 000; Bought At: 00.00; Sell At: 00.00; Cost: 00.00;
ID: 0018; Operation: Sell; Time: 2022-12-13 12:58:35; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.6; Sell At: 4.65; Cost: -4650.0; 
ID: 0019; Operation: Buy; Time: 2022-12-13 12:59:09; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.7; Sell At: None; Cost: 4700.0; 
ID: 0020; Operation: Sell; Time: 2022-12-13 12:59:42; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.7; Sell At: 4.75; Cost: -4750.0; 
ID: 0021; Operation: Buy; Time: 2022-12-13 13:00:21; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.7; Sell At: None; Cost: 4700.0; 
ID: 0022; Operation: Sell; Time: 2022-12-13 13:17:51; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.7; Sell At: 4.75; Cost: -4750.0; 
ID: 0023; Operation: Buy; Time: 2022-12-13 13:18:25; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.8; Sell At: None; Cost: 4800.0; 
ID: 0024; Operation: Sell; Time: 2022-12-13 13:24:57; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.8; Sell At: 4.85; Cost: -4850.0; 
ID: 0025; Operation: Buy; Time: 2022-12-13 13:25:32; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.95; Sell At: None; Cost: 4950.0; 
ID: 0026; Operation: Sell; Time: 2022-12-13 13:42:27; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 4.95; Sell At: 5.0; Cost: -5000.0; 
ID: 0027; Operation: Buy; Time: 2022-12-13 13:43:01; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 5.35; Sell At: None; Cost: 5350.0; 
ID: 0028; Operation: Sell; Time: 2022-12-13 13:44:07; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 5.35; Sell At: 5.4; Cost: -5400.0; 
ID: 0029; Operation: Buy; Time: 2022-12-13 13:44:41; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 5.35; Sell At: None; Cost: 5350.0; 
ID: 0030; Operation: Buy; Time: 2022-12-13 14:03:15; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.6; Sell At: None; Cost: 6600.0; 
ID: 0031; Operation: Sell; Time: 2022-12-13 14:13:08; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.6; Sell At: 6.65; Cost: -6650.0; 
ID: 0032; Operation: Buy; Time: 2022-12-13 14:16:58; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.55; Sell At: None; Cost: 6550.0; 
ID: 0033; Operation: Sell; Time: 2022-12-13 14:18:05; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.55; Sell At: 6.65; Cost: -6650.0; 
ID: 0034; Operation: Buy; Time: 2022-12-13 14:20:17; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.7; Sell At: None; Cost: 6700.0; 
ID: 0035; Operation: Sell; Time: 2022-12-13 14:22:29; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.7; Sell At: 6.8; Cost: -6800.0; 
ID: 0036; Operation: Buy; Time: 2022-12-13 14:26:19; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.8; Sell At: None; Cost: 6800.0; 
ID: 0037; Operation: Sell; Time: 2022-12-13 14:29:05; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 6.8; Sell At: 6.85; Cost: -6850.0; 
ID: 0038; Operation: Buy; Time: 2022-12-13 14:30:53; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-23; Type: Call; Shares: 10; Bought At: 7.3; Sell At: None; Cost: 7300.0; 
ID: 0039; Operation: Sell; Time: 2022-12-14 13:34:55; Stock Name: AMD; Strike: 67.0; Expiration Date: 2022-12-16; Type: Put; Shares: 10; Bought At: 0.92; Sell At: 0.93; Cost: -930.0; 
ID: 0040; Operation: Sell; Time: 2022-12-15 08:43:48; Stock Name: WFC; Strike: 40.5; Expiration Date: 2022-12-16; Type: Put; Shares: 10; Bought At: 0.16; Sell At: 0.07; Cost: -70.0; 
ID: 0041; Operation: Sell; Time: 2022-12-15 08:43:50; Stock Name: ORCL; Strike: 92.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.23; Sell At: 0.0; Cost: -0.0; 
ID: 0042; Operation: Sell; Time: 2022-12-15 08:43:52; Stock Name: MCD; Strike: 285.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.16; Sell At: 0.01; Cost: -10.0; 
ID: 0043; Operation: Sell; Time: 2022-12-15 08:43:53; Stock Name: GE; Strike: 93.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.02; Sell At: 0.0; Cost: -0.0; 
ID: 0044; Operation: Sell; Time: 2022-12-15 08:43:55; Stock Name: TSLA; Strike: 162.5; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 5.35; Sell At: 2.1; Cost: -2100.0; 
ID: 0045; Operation: Buy; Time: 2022-12-15 13:30:31; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.48; Sell At: None; Cost: 480.0; 
ID: 0046; Operation: Sell; Time: 2022-12-15 13:31:04; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.48; Sell At: 0.49; Cost: -490.0; 
ID: 0047; Operation: Buy; Time: 2022-12-15 13:31:38; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.49; Sell At: None; Cost: 490.0; 
ID: 0048; Operation: Sell; Time: 2022-12-15 13:32:10; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.49; Sell At: 0.49; Cost: -490.0; 
ID: 0049; Operation: Buy; Time: 2022-12-15 13:32:44; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.51; Sell At: None; Cost: 510.0; 
ID: 0050; Operation: Sell; Time: 2022-12-15 13:33:16; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.51; Sell At: 0.51; Cost: -510.0; 
ID: 0051; Operation: Buy; Time: 2022-12-15 13:33:50; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.52; Sell At: None; Cost: 520.0; 
ID: 0052; Operation: Sell; Time: 2022-12-15 13:34:22; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.52; Sell At: 0.51; Cost: -510.0; 
ID: 0053; Operation: Buy; Time: 2022-12-15 13:34:56; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.53; Sell At: None; Cost: 530.0; 
ID: 0054; Operation: Sell; Time: 2022-12-15 13:35:29; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.53; Sell At: 0.49; Cost: -490.0; 
ID: 0055; Operation: Buy; Time: 2022-12-15 13:36:02; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.5; Sell At: None; Cost: 500.0; 
ID: 0056; Operation: Sell; Time: 2022-12-15 13:36:34; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.5; Sell At: 0.5; Cost: -500.0; 
ID: 0057; Operation: Buy; Time: 2022-12-15 13:37:08; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.5; Sell At: None; Cost: 500.0; 
ID: 0058; Operation: Sell; Time: 2022-12-15 13:37:41; Stock Name: AAPL; Strike: 139.0; Expiration Date: 2022-12-16; Type: Call; Shares: 10; Bought At: 0.5; Sell At: 0.54; Cost: -540.0; 
